version,meta,attribute,name,value-kor,value-eng
v0.0.0,,StatisticsPopupText,StatisticsExperimentPlayTimeValue,{0:D4}일 {0:D2}시간 {0:D2}분 {0:D2}초,{0:D4}d {0:D2}h {0:D2}m {0:D2}s
v0.0.0,,StatisticsPopupText,StatisticsCurrentAttemptsKey,현재 실험에서의 시도 횟수,Attempts in Current Experiment
v0.0.0,,StatisticsPopupText,StatisticsCurrentAttemptsValue,{0}회,{0} Attempts
v0.0.0,,StatisticsPopupText,StatisticsCurrentCoreIntellectKey,현재 코어 브레인 지능,Current Core Intellect
v0.0.0,,StatisticsPopupText,StatisticsCurrentCoreIntellectValue,{0},{0}
v0.0.0,,StatisticsPopupText,StatisticsHighestCoreIntellectKey,코어 브레인 지능 최고기록,Highest Core Intellect
v0.0.0,,StatisticsPopupText,StatisticsHighestCoreIntellectValue,{0},{0}
v0.0.0,,StatisticsPopupText,StatisticsBaseMultiplierKey,기본 증폭계수,Base Multiplier
v0.0.0,,StatisticsPopupText,StatisticsBaseMultiplierValue,x{0},x{0}
v0.0.0,,StatisticsPopupText,StatisticsTotalGeneratedBrainsKey,총 브레인 생성 횟수,Total Generated Brains
v0.0.0,,StatisticsPopupText,StatisticsTotalGeneratedBrainsValue,{0}회,{0} Brains
v0.0.0,,StatisticsPopupText,StatisticsTotalGeneratedChannelsKey,총 브레인 연결 횟수,Total Brain Connections
v0.0.0,,StatisticsPopupText,StatisticsTotalGeneratedChannelsValue,{0}회,{0} Connections
v0.0.0,,StatisticsPopupText,StatisticsTotalDecomposedBrainsKey,총 브레인 분해 횟수,Total Decomposed Brains
v0.0.0,,StatisticsPopupText,StatisticsTotalDecomposedBrainsValue,{0}회,{0} Brains
v0.0.0,,StatisticsPopupText,StatisticsTotalTapCountKey,탭 횟수,Total Tap Count
v0.0.0,,StatisticsPopupText,StatisticsTotalTapCountValue,{0}회,{0} Taps
v0.0.0,,StatisticsPopupText,StatisticsTotalGeneratedASNsKey,ASN 생성 횟수,Total Generated ASNs
v0.0.0,,StatisticsPopupText,StatisticsTotalGeneratedASNsValue,{0}회,{0} ASNs
v0.0.0,,StatisticsPopupText,StatisticsTotalNPGainKey,누적 NP 획득량,Total NP Gain
v0.0.0,,StatisticsPopupText,StatisticsTotalNPGainValue,{0} NP,{0} NP
v0.0.0,,StatisticsPopupText,StatisticsTotalTPGainKey,누적 TP 획득량,Total TP Gain
v0.0.0,,StatisticsPopupText,StatisticsTotalTPGainValue,{0} TP,{0} TP
